scrambleId,competitionId,eventId,roundTypeId,groupId,isExtra,scrambleNum,scramble
595,HessenOpen2014,333bf,d,B,0,3,B2 R2 B2 L' B2 D2 F2 L' F2 U' B D' F D' B L' F2 D' F2 L2 Fw'
596,HessenOpen2014,333bf,d,B,1,1,D2 U L2 R2 B2 D L2 D' R2 B' F' D R' D' L' R' B' L D Fw'
597,HessenOpen2014,333bf,d,B,1,2,F D2 B' L2 B' R2 B' U2 B U' L D F U2 B' F2 U2 L D U Rw' Uw'
598,HessenOpen2014,333bf,f,A,0,1,F2 U L2 D U' B2 U2 F2 L2 U' B U L F2 L2 R2 B R' B2 R' U Rw2
599,HessenOpen2014,333bf,f,A,0,2,F U2 B' L2 B' L2 U2 F' L2 D F2 R' U' F R D' B D' U' F Rw' Uw'
600,HessenOpen2014,333bf,f,A,0,3,D U' R2 B2 D R2 U2 F2 R2 U' F' U2 B U' F' R U2 B D F' Uw
601,HessenOpen2014,333bf,f,A,1,1,L2 F2 U F2 U2 B2 U2 L R2 B' F R' B' U2 R' F2 D' U2 F' Rw Uw
602,HessenOpen2014,333bf,f,A,1,2,R' U2 B2 U2 R D2 R' F2 R2 B2 D2 B R' U R B' L' U L U2 F2 Uw2
736,BogotaCubico2014,333bf,f,A,0,1,L2 F D2 F2 R2 F L2 F' D2 R' D B' D2 F' R' B' R U F L2 B2 Uw2
737,BogotaCubico2014,333bf,f,A,0,2,L2 U' B2 D2 B2 L2 D2 L2 F2 R D2 R D2 U L' B' U2 F' R' F2
738,BogotaCubico2014,333bf,f,A,0,3,R U' B2 L D F' R' D2 L' F2 U2 F' R2 F B D2 R2 U2 L2 B'
739,BogotaCubico2014,333bf,f,A,1,1,U L2 F2 D' R2 D' F2 U2 R2 F2 R F L2 D L R' F' L2 U' L' R' Uw'
740,BogotaCubico2014,333bf,f,A,1,2,L2 B2 L2 B2 R U2 B2 D2 B2 R2 D' B2 F' R' B U2 R' D' F U2 Fw'
857,DneprCubeDay2014,333bf,f,A,0,1,F U2 B2 D2 B D2 R2 B' D2 U2 F R U F2 U' B D F2 R Fw
858,DneprCubeDay2014,333bf,f,A,0,2,D2 F L2 B L2 B' L2 F R2 F2 U' L' U2 B2 F D' L U B2 L Fw'
859,DneprCubeDay2014,333bf,f,A,0,3,B2 L2 U2 B2 D B2 L2 R' U' L2 R' B D R F' D F' R D' Rw2 Uw'
860,DneprCubeDay2014,333bf,f,B,0,1,L2 B' L2 F U2 B U2 B2 R2 D2 L' F R D L D L' D2 B L U Rw'
861,DneprCubeDay2014,333bf,f,B,0,2,U' B2 L2 D B2 D L2 F2 U' F2 D2 F' L2 D L B U2 L' F R F Rw Uw2
862,DneprCubeDay2014,333bf,f,B,0,3,R2 U' L2 R2 F2 U R2 F2 L2 U2 R D F' R' U2 L' D L2 B D2 Rw' Uw'
1021,BerkeleyMindSports2014,333bf,f,A,0,1,D' L2 D F2 R2 U B2 L' R' F U' F' D L2 B2 F2 D' R2 Fw Uw'
1022,BerkeleyMindSports2014,333bf,f,A,0,2,F' L2 F U2 F L2 B' R2 D2 R2 U R' F2 U B2 R' F' D' B' L2 U Rw
1023,BerkeleyMindSports2014,333bf,f,A,0,3,B L2 F R2 B' L2 B' D2 B2 U2 F R B D2 R2 D U2 L B2 U' B Rw2 Uw'
1024,BerkeleyMindSports2014,333bf,f,A,1,1,D' L2 B2 F2 D2 L2 U B R' U B F L' R D U L' R2 B' Rw2 Uw'
1025,BerkeleyMindSports2014,333bf,f,A,1,2,D2 B2 D2 L B2 L' F2 L D' F' R U R D' R' B' U R2 B Rw2 Uw
1109,MielecOpen2014,333bf,f,A,0,1,R2 U' B2 D U2 B2 R2 D' U2 R D2 B2 U' B2 R2 F L2 B' U2 L Fw
1110,MielecOpen2014,333bf,f,A,0,2,F' D2 F R2 F L2 D2 L2 U2 B' L2 R' D U' L R' F R2 D' R2 F' Rw' Uw
1111,MielecOpen2014,333bf,f,A,0,3,B2 L2 B2 R2 U B2 D2 L2 U R2 F' D R B' L2 D' B R F2 D L Fw Uw'
1112,MielecOpen2014,333bf,f,A,1,1,L2 R2 F2 L2 U2 F D2 B' U2 B F2 D B2 L' B U F2 L2 D L U2 Rw
1113,MielecOpen2014,333bf,f,A,1,2,U L2 U L2 U L2 U F2 R F' D' L2 F' U2 F2 L' B2 F R
1393,FariaBritoOpen2014,333bf,1,A,0,1,U' L2 B2 D B2 R2 D L2 B L2 U B R' D' U' F2 D R B2 Rw2 Uw2
1394,FariaBritoOpen2014,333bf,1,A,0,2,L2 R2 D B2 L2 D R2 D2 F2 U R' B' R' F' D F D2 L' F2 U' Rw Uw
1395,FariaBritoOpen2014,333bf,1,A,0,3,B2 F' R2 F2 D2 U2 F' R2 U2 B' L2 D' L2 R' F L2 B L U2 L2 Fw Uw
1396,FariaBritoOpen2014,333bf,1,A,1,1,R2 F L2 D2 F2 D2 R2 B' L2 F2 L' F U2 B2 L D B U' B' Rw2 Uw'
1397,FariaBritoOpen2014,333bf,1,A,1,2,R2 U2 F U2 R2 B' F' L2 D U2 L U' B' R' B2 L2 R2 F' Rw2
1398,FariaBritoOpen2014,333bf,f,A,0,1,F2 R2 B2 L F2 L D2 R2 U2 L' D' L F' L' B D U' F' L B' Rw2 Uw'
1399,FariaBritoOpen2014,333bf,f,A,0,2,R B2 F2 D2 B2 R' B2 L' U2 L' B L' D U' F' L' B' D R D2 Fw Uw
1400,FariaBritoOpen2014,333bf,f,A,0,3,B' U2 R2 B D2 B2 L2 F' R2 U' B' D2 U F L R' D R2 B' R2 Uw'
1401,FariaBritoOpen2014,333bf,f,A,1,1,U R2 F2 U' L2 D2 F' U2 R B2 U' B D2 U R' U L2 R2 Uw'
1402,FariaBritoOpen2014,333bf,f,A,1,2,U2 B' U2 R2 D2 R2 U2 F2 U2 F U' L' D' U' L D R2 B' U2 L Fw Uw
1603,OpenColca2014,333bf,f,A,0,1,B2 U2 F2 L2 R2 U' F2 U B2 F2 U F R B F' R2 U2 L B2 R2 D Fw' Uw'
1604,OpenColca2014,333bf,f,A,0,2,L2 F2 U' F2 R' B' D2 B2 D F' D2 F2 B2 R2 F2 B2 L' B2 R F2
1605,OpenColca2014,333bf,f,A,0,3,L2 D2 R' B2 R' F2 L R D2 R B D F R' F L U L' R F' Uw
1606,OpenColca2014,333bf,f,A,1,1,R2 D R2 B2 F2 D' U' L2 D2 U' L B' D' U2 F U R2 B D U' Rw2
1607,OpenColca2014,333bf,f,A,1,2,D' R2 B2 F2 U' F2 U2 F2 U B L' U' B R2 D2 F2 R B2 R2 U' Rw
1660,KansaiOpen2014,333bf,1,A,0,1,D F2 R2 F2 U F2 D' F2 U2 F2 L2 B' L' R2 B L' R2 U' L F2 D Rw2 Uw'
1661,KansaiOpen2014,333bf,1,A,0,2,D R2 D2 B2 U' F2 U F2 U' L' U2 L B' F2 U' L2 B L2 D' B2 Uw
1662,KansaiOpen2014,333bf,1,A,0,3,B' D2 F U2 B F D2 F L2 D2 F L U2 F' U R D' F' L' B2 F2 Rw Uw'
1663,KansaiOpen2014,333bf,1,A,1,1,B U2 F R2 F R2 B2 L2 U2 F2 U2 R' F U' L2 B2 F U' B R' U2 Fw' Uw
1664,KansaiOpen2014,333bf,1,A,1,2,B2 U R2 B2 D' B2 D' U' L2 D' B L' R B2 L' F' D' L' B' R D2 Rw'
1665,KansaiOpen2014,333bf,f,A,0,1,L D' R D' F2 L2 D2 R F2 U F' L2 D2 L2 U2 B' L2 F R2 L2
1666,KansaiOpen2014,333bf,f,A,0,2,U' B2 U' L2 D' F2 D B2 U' F2 D R' U2 R U' L' F' R F D Rw' Uw'
1667,KansaiOpen2014,333bf,f,A,0,3,B' U2 B' L2 B R2 B' R2 F' L2 D R' F2 D' U2 B2 R F U' L U2 Fw Uw2
1668,KansaiOpen2014,333bf,f,A,1,1,L2 U' B2 U F2 L2 D B2 L' R B' L2 F U L R2 U R B Uw
1669,KansaiOpen2014,333bf,f,A,1,2,D2 U2 R U2 L F2 U2 R2 U2 L B F2 D U' L2 F2 U2 B' L' R' F Uw'
1978,ZonhovenOpen2014,333bf,1,A,0,1,L2 R2 F2 D2 U2 B D2 F U2 R' D' R B' U' R' D L' R' F' U Fw' Uw
1979,ZonhovenOpen2014,333bf,1,A,0,2,U F2 L2 D R2 B2 R2 U' L' F' R2 F' D2 B F' D2 U2 L' U' L' Fw' Uw'
1980,ZonhovenOpen2014,333bf,1,A,0,3,B' D2 R2 B2 R2 F L2 U2 B' R U B2 F2 R' B U2 R2 B F' Rw2 Uw
1981,ZonhovenOpen2014,333bf,1,A,1,1,U' R2 U' B2 U F2 U B L2 B2 F D2 F2 U' R F' D B
1982,ZonhovenOpen2014,333bf,1,A,1,2,D2 F' U2 B U2 F' D2 F D2 L2 D' B2 L2 U B' L' F' R' U' B' Rw' Uw'
1983,ZonhovenOpen2014,333bf,1,B,0,1,L2 D2 L F2 L' F2 R B2 D2 R F R' B U B' D' R2 F' U Rw2
1984,ZonhovenOpen2014,333bf,1,B,0,2,F2 U' R2 D U2 F2 D2 R U B2 L2 R' B' F' R2 U L' R' U' Rw2 Uw
1985,ZonhovenOpen2014,333bf,1,B,0,3,L R' B2 D2 R' B2 R B U' F' R D' B F' L2 D B' L B Rw2 Uw2
1986,ZonhovenOpen2014,333bf,1,B,1,1,B2 U2 R D2 F2 D2 L' F2 L2 F2 D' F' L' U' L' F2 D' F2 D' R' Uw'
1987,ZonhovenOpen2014,333bf,1,B,1,2,U2 L2 F2 R2 U2 F' D2 U' R2 F' D2 U B' F2 U' L B' R F Rw2 Uw
1988,ZonhovenOpen2014,333bf,f,A,0,1,L2 F L2 R2 B' L2 F2 D2 B2 U' R B' R2 F' L2 B2 L B' F' Rw'
1989,ZonhovenOpen2014,333bf,f,A,0,2,B R2 F2 U2 B2 U2 B R2 B D F R B2 F D B U F2 U F' Rw2 Uw2
1990,ZonhovenOpen2014,333bf,f,A,0,3,R2 U' R2 B2 D R2 D2 F2 R' D' B' L2 B' F' L' F' D F U2 F2 Rw2 Uw2
1991,ZonhovenOpen2014,333bf,f,A,1,1,F L2 F' D2 B L2 F' D2 B' D2 L2 U' L' R' D U' R2 D B L2 D' Rw Uw
1992,ZonhovenOpen2014,333bf,f,A,1,2,D' U F2 D' U B2 D B' D2 B' U F' D R B2 F2 R2 U2 R Uw'
2207,IITRoorkeeOpen2014,333bf,f,A,0,1,B F D2 B2 F D2 L2 F' L' U L U' F2 D' L' B D2 R B' Rw'
2208,IITRoorkeeOpen2014,333bf,f,A,0,2,B2 F2 R2 U2 B2 U2 F2 D R2 F R' D2 L' B F U' R2 D R' U Rw2 Uw'
2209,IITRoorkeeOpen2014,333bf,f,A,0,3,L2 U2 F2 R2 F U2 B D2 L B2 R2 U' B2 L2 R F' R2 B2 D' Rw' Uw2
2210,IITRoorkeeOpen2014,333bf,f,A,1,1,U' R2 F2 D2 L2 D F2 U L2 D' F L2 U L' R2 U F2 D U' Rw Uw'
2211,IITRoorkeeOpen2014,333bf,f,A,1,2,L2 U' R2 U' B2 U' F2 D2 L U B' F L B' F L2 B2 R2 F2 Rw' Uw'
2212,IITRoorkeeOpen2014,333bf,f,B,0,1,D2 R2 D2 B2 D' R2 B2 D L2 D2 L B' D2 L2 U' B2 U2 F' R' B' D' Fw' Uw
2213,IITRoorkeeOpen2014,333bf,f,B,0,2,U2 B2 R2 B2 L D2 L2 R' B' R F' D R2 F2 L' B' D2 B2 U Fw' Uw
2214,IITRoorkeeOpen2014,333bf,f,B,0,3,B2 R' F2 D2 L' R2 F2 R2 D2 R B2 U' B2 L2 F' D2 B' D' R' U2 Fw
2215,IITRoorkeeOpen2014,333bf,f,B,1,1,B2 D2 B2 D B2 F2 D' U2 L U' B U' L2 F L2 R D' R F' Rw Uw
2216,IITRoorkeeOpen2014,333bf,f,B,1,2,L' R' F2 L2 U2 L' F2 U2 B L U L' D2 U B F2 D B2 D2 Rw' Uw
2217,IITRoorkeeOpen2014,333bf,f,C,0,1,F2 R2 D' R2 U2 R2 D' B2 L' U' F' L B' R' B R' D2 U2 F Rw Uw2
2218,IITRoorkeeOpen2014,333bf,f,C,0,2,D2 B2 U' L2 F2 U B2 D U2 B2 U' L U2 R2 U F' D F R D' U2 Rw' Uw'
2219,IITRoorkeeOpen2014,333bf,f,C,0,3,L2 B L2 D2 B' R2 F2 U2 B' U2 L2 U F' D2 F' L R U' F' L R' Uw
2220,IITRoorkeeOpen2014,333bf,f,C,1,1,L2 U2 F' U2 F' U2 L2 F L2 R2 U' F' L' B L2 D R' D' F' L' Uw2
2221,IITRoorkeeOpen2014,333bf,f,C,1,2,B2 F2 D R2 F2 L2 R2 D' R2 D2 R' U R2 B F D B' L' D L2 U
2404,SantoDomingoSpring2014,333bf,f,A,0,1,U' F2 U B2 D L2 R2 D2 B' U B R2 F D' R' B' U L' B F Uw'
2405,SantoDomingoSpring2014,333bf,f,A,0,2,F2 U2 F' D2 R2 B L2 U2 B2 U' B2 F U' R' B2 R F U2 L Fw'
2406,SantoDomingoSpring2014,333bf,f,A,0,3,U2 R2 B L2 F2 U2 F D2 F D R' F' U L2 U L F2 R D R Fw Uw'
2407,SantoDomingoSpring2014,333bf,f,A,1,1,U B2 U' L2 R2 D' U' L2 D' L' U B2 D' L2 B' L2 R' U' B2 R2 Uw
2408,SantoDomingoSpring2014,333bf,f,A,1,2,L2 R2 F2 D' R2 D U2 R2 D' L2 B' D L' B R' B F2 L2 R' D' Fw' Uw'
3439,CMIFiestaOpen2014,333bf,1,A,0,1,U B2 D2 L2 F2 D' L2 U' F2 U2 R B' D2 U2 L2 D2 F D U2 F2 U2 Rw Uw
3440,CMIFiestaOpen2014,333bf,1,A,0,2,B2 U B2 L2 U2 L2 F2 L2 U F2 L B D' B U L' B' D2 R' U2 B2 Rw' Uw
3441,CMIFiestaOpen2014,333bf,1,A,0,3,D2 R D2 L2 R D2 F2 R2 F2 R' D B R' B' D2 B2 D' F R' B'
3442,CMIFiestaOpen2014,333bf,1,A,1,1,D' F2 U' B2 L2 D L2 B2 L2 D L2 F' L' F' L2 R2 U L2 U2 L' Fw' Uw'
3443,CMIFiestaOpen2014,333bf,1,A,1,2,D2 B' R2 B' L2 B' F2 U2 L' R' B R B2 D' B2 R2 D F' U Rw Uw'
3444,CMIFiestaOpen2014,333bf,1,B,0,1,F2 D' R2 D' F2 U L2 U F2 D' L F' D L2 U2 L' U' B L R'
3445,CMIFiestaOpen2014,333bf,1,B,0,2,L2 F2 D' U2 R2 D2 U R2 B' L2 B2 L' F U2 L' B' F2 L2 U Rw2 Uw
3446,CMIFiestaOpen2014,333bf,1,B,0,3,F2 L2 B2 F2 D U2 L2 D2 R2 B2 R' U B2 L2 B' R F' U2 B2 U' Rw2 Uw'
3447,CMIFiestaOpen2014,333bf,1,B,1,1,U2 L2 D U' R2 D L2 B2 L' R2 U' B2 F D2 R2 U F' U R' Fw' Uw'
3448,CMIFiestaOpen2014,333bf,1,B,1,2,D2 B2 D F2 L2 U L2 B2 U L F2 D' B2 U2 L2 B L' B' U F2 Rw Uw'
3449,CMIFiestaOpen2014,333bf,1,C,0,1,B2 R U2 L F2 R2 D2 U2 B2 L B L D U F2 R2 F2 L F' U' Rw Uw2
3450,CMIFiestaOpen2014,333bf,1,C,0,2,U2 B2 L' F2 R' B2 D2 F' U' L' B' F L' R' D2 L R' D Fw Uw'
3451,CMIFiestaOpen2014,333bf,1,C,0,3,D' B2 U' L2 F2 U' R2 D2 R2 F' L' B D2 U2 L' U' R D2 R D
3452,CMIFiestaOpen2014,333bf,1,C,1,1,F L2 F' D2 R2 B2 D2 B' U2 R2 B2 D B2 L' D R U' F' L B Uw
3453,CMIFiestaOpen2014,333bf,1,C,1,2,D2 R2 B2 R D2 R U2 L2 B' L2 D' B2 F2 L2 D L' F2 D Rw Uw
3454,CMIFiestaOpen2014,333bf,1,D,0,1,F2 D2 L2 B2 F2 D2 F2 L' B2 L2 D2 F L' B2 F L' R U' L U F Rw Uw'
3455,CMIFiestaOpen2014,333bf,1,D,0,2,L2 B2 U' F2 D R2 F2 U B2 R F2 R2 D' F D' F L' F2 D' Fw' Uw
3456,CMIFiestaOpen2014,333bf,1,D,0,3,R' F2 R2 D2 U2 B2 R F2 L' F2 L2 D' L' U' R D' L' F L2 U2 Fw Uw
3457,CMIFiestaOpen2014,333bf,1,D,1,1,D2 U2 F2 L2 U2 L R' D2 B L' R' U' F' D U R' F' D U Rw2
3458,CMIFiestaOpen2014,333bf,1,D,1,2,U2 B2 L2 D R2 B2 U2 B2 U' L2 U' L' B R' B2 U' L2 D R F2 L2 Uw'
3459,CMIFiestaOpen2014,333bf,1,E,0,1,U' R2 B2 D R2 D2 F2 R2 B2 R2 U R D2 B L' B' F D B2 L2 Fw Uw
3460,CMIFiestaOpen2014,333bf,1,E,0,2,R2 B2 R' D2 L' R' B2 L' D2 U2 B U F L' B2 U B2 U2 F2 R' D Rw2 Uw'
3461,CMIFiestaOpen2014,333bf,1,E,0,3,L D2 F2 L' U2 L2 D2 L2 F2 U2 R D' B D R2 B' U B' R F' U2 Rw'
3462,CMIFiestaOpen2014,333bf,1,E,1,1,L2 F L2 F L2 R2 B2 U2 F' U2 R F2 L' D R' F' L' D2 U
3463,CMIFiestaOpen2014,333bf,1,E,1,2,L2 D2 B2 D2 F2 R2 D B2 L2 B F' D' F2 R D2 U B F2 D Rw2
3464,CMIFiestaOpen2014,333bf,f,A,0,1,U B2 F2 U' R2 U B2 U' L2 U R F L' D' B R' B L R2 B Rw2
3465,CMIFiestaOpen2014,333bf,f,A,0,2,B2 L2 D2 B2 R' U2 B2 L2 B2 R' B F D' U' B U F' U L2 R Uw
3466,CMIFiestaOpen2014,333bf,f,A,0,3,B2 U2 L' F2 D2 R B2 L2 D L' U B' F2 L F' D2 B L2 R' Fw' Uw2
3467,CMIFiestaOpen2014,333bf,f,A,1,1,F' U2 F' D2 L2 F' R2 F2 R2 D L' B F' U' L F2 D2 F' L' Fw Uw2
3468,CMIFiestaOpen2014,333bf,f,A,1,2,D' R2 F2 L2 F2 D' F2 R' B2 L2 U B' F' U L2 F' R2 B R Uw2
4059,MonticelloConteOtto2014,333bf,1,A,0,1,L U2 R2 U2 B2 R2 F2 U2 L B' F2 D2 R D2 R2 U' F L2 B F Uw2
4060,MonticelloConteOtto2014,333bf,1,A,0,2,B2 D' F2 D L2 D U2 R2 B2 U2 L' U' F R' F2 D L' D2 L2 R' U' Fw' Uw'
4061,MonticelloConteOtto2014,333bf,1,A,0,3,R2 D2 B' R2 B D2 F' L2 D2 B' D R F L' R U2 B R' U' F Uw'
4062,MonticelloConteOtto2014,333bf,1,A,1,1,L2 B R2 F2 L2 U2 B' L2 R2 D2 B D F L2 F' U' L2 R U' L Fw' Uw
4063,MonticelloConteOtto2014,333bf,1,A,1,2,F2 L2 U2 R2 U B2 D F D R2 B2 F D' U' L' U' F' L D' Fw' Uw
4064,MonticelloConteOtto2014,333bf,f,A,0,1,R2 D' R2 B2 U' L2 B2 L2 D' U R' B' U B2 D' R U R2 B2 D Fw Uw
4065,MonticelloConteOtto2014,333bf,f,A,0,2,R2 B R2 D2 L2 D2 R2 U2 F U2 F L' R' D L U2 B2 U' F' U2 F2 Uw
4066,MonticelloConteOtto2014,333bf,f,A,0,3,D2 L2 B2 L2 F L2 R2 F D F' R F' D U' B' R2 U' F' D' Rw2 Uw
4067,MonticelloConteOtto2014,333bf,f,A,1,1,L2 D2 F2 R2 F2 D' L2 B' D2 B2 L B' L2 U2 F U R' B R Fw Uw
4068,MonticelloConteOtto2014,333bf,f,A,1,2,L R' B2 D2 U2 F2 R' U2 F R2 U' R2 B L2 D' B2 L R B' Uw
4572,MadridSpringOpen2014,333bf,f,A,0,1,B2 L2 R B2 R B2 F2 R U2 B' F L' D U2 B U2 R' D F D Rw Uw
4573,MadridSpringOpen2014,333bf,f,A,0,2,D2 B' D2 L2 F L2 U2 B F' R D F2 L D' B F L2 D' U F2 Rw2 Uw'
4574,MadridSpringOpen2014,333bf,f,A,0,3,F2 U2 F2 U L2 U R2 D L2 B' R2 U2 L' B' L R' U F2 D R2 Fw
4575,MadridSpringOpen2014,333bf,f,A,1,1,L2 D' B2 D L2 D2 B2 R2 B2 F' R' D2 B2 U F U L' B' L' F' Rw2 Uw2
4576,MadridSpringOpen2014,333bf,f,A,1,2,U2 B F' U2 B L2 U2 B D R' D2 R2 B2 D U L' D' L D' Fw' Uw2
4577,MadridSpringOpen2014,333bf,f,B,0,1,B2 R2 D2 L2 B D2 L2 B' L' R2 D' B U L' R' F R2 U' Fw Uw
4578,MadridSpringOpen2014,333bf,f,B,0,2,R2 U2 L2 U R2 F2 U' R2 U2 F' D2 L' D' B R2 F2 U B R2 F2 Uw2
4579,MadridSpringOpen2014,333bf,f,B,0,3,R' U2 R' F2 D2 B2 R F2 L D2 U2 F' U L B F D F D2 L' Fw'
4580,MadridSpringOpen2014,333bf,f,B,1,1,D U2 F2 D' R2 B2 L2 U2 R B D' B' L R F L' B' U' L' U' Fw' Uw2
4581,MadridSpringOpen2014,333bf,f,B,1,2,D2 L2 F2 R' F2 L' D2 R' F2 L' F' U L2 B2 L U' L2 D B2
4808,DixonSpring2014,333bf,f,A,0,1,R' D2 R F2 R' U2 L2 D2 R' B' D' F2 D' F U2 B2 D2 R U' Fw Uw2
4809,DixonSpring2014,333bf,f,A,0,2,R2 U2 R2 F' D2 R2 B R2 U' F' U2 L' F2 R2 U' L' R' B' D' F2 Uw
4810,DixonSpring2014,333bf,f,A,0,3,L2 R2 D R2 F2 R2 U F2 U2 L U2 R2 F2 U2 F D2 R B L Fw' Uw
4811,DixonSpring2014,333bf,f,A,1,1,U2 B2 R2 D2 L B2 L F2 L R B2 U L' U2 F' D' R' F D2 R' Fw' Uw2
4812,DixonSpring2014,333bf,f,A,1,2,L2 R2 D' U2 R2 F2 D2 B2 F L2 B D2 L D2 L2 D' R' U F' D2 Fw
4834,YaleSpring2014,333bf,f,A,0,1,D' L2 B2 F2 D' U2 F2 D2 B2 L2 R B' R' U' L' F' D2 F2 D2 L2 D' Fw Uw
4835,YaleSpring2014,333bf,f,A,0,2,F2 D' B2 D2 B2 D2 F2 R F' D' B' F' D' L2 F R' D U2 F' Uw'
4836,YaleSpring2014,333bf,f,A,0,3,U2 F L2 R2 B2 F' R2 B2 L' D2 F2 D B2 L' F2 D' U2 L2 B U' Fw' Uw2
4837,YaleSpring2014,333bf,f,A,1,1,B D2 L2 F2 U2 R2 B2 R2 F D2 U' L B' R D B L' U2 F R' D2 Rw' Uw'
4838,YaleSpring2014,333bf,f,A,1,2,F2 D U2 B2 R2 D F2 U' L2 B D U2 R F' L2 R' B' U' F' R' Uw
4978,TulaOpen2014,333bf,1,A,0,1,B2 U' L2 R2 F2 D' U2 B2 R2 F2 R' B2 F L2 D' B2 D' R' D' L Uw2
4979,TulaOpen2014,333bf,1,A,0,2,U2 B2 L F2 D2 L2 R' D2 L F' R' B2 U' B' D2 B2 L' U2 R' B2 Rw' Uw2
4980,TulaOpen2014,333bf,1,A,0,3,B2 L2 F' D2 R2 D2 L2 F D2 U2 L' R' D' L' R2 F' L2 R D F Uw'
4981,TulaOpen2014,333bf,1,A,1,1,B2 R2 D2 B2 U2 B' D2 B R2 F L' D L B L' R B L' D' U' R' Fw' Uw'
4982,TulaOpen2014,333bf,1,A,1,2,L2 D2 R' U2 R2 U2 R F2 R U2 F2 D' L' F' R U' R F' L F2 U' Rw Uw
4983,TulaOpen2014,333bf,1,B,0,1,D2 R2 B L2 F' D2 L2 B F L D2 B R U' L B F U' R2 U Fw' Uw'
4984,TulaOpen2014,333bf,1,B,0,2,U2 L2 R2 F2 R2 B' D2 B' U2 L F' L D L2 U2 R2 U' L2 F Rw' Uw2
4985,TulaOpen2014,333bf,1,B,0,3,L2 U' L2 F2 U2 F2 D' U2 R2 B' D' F' D2 B2 R' F L' D L' U' B Rw' Uw
4986,TulaOpen2014,333bf,1,B,1,1,R2 U2 R2 B2 D2 R B2 L' B F2 D L' F2 L R' F2 U2 B F Rw'
4987,TulaOpen2014,333bf,1,B,1,2,F D2 U2 F' D2 R2 B' F' D2 U2 R F' D' L D' R2 U L2 B2 R' B Rw
4988,TulaOpen2014,333bf,f,A,0,1,U' L2 R2 D' R2 B2 D' B2 D2 R2 U' L' B2 D F' L2 U2 R D F R' Fw Uw'
4989,TulaOpen2014,333bf,f,A,0,2,F2 L' F' L2 U L2 U' B' U R B2 D2 F2 R D2 L' F2 B2 R L
4990,TulaOpen2014,333bf,f,A,0,3,B2 R' B2 L2 D2 F2 U2 R D2 F2 L D' B2 R' D F' R' D B2 R2 Fw'
4991,TulaOpen2014,333bf,f,A,1,1,B2 F2 D R2 D' F2 U F2 L2 D' L D' F2 L2 R' F' U2 B2 U' B' R Fw Uw
4992,TulaOpen2014,333bf,f,A,1,2,R2 U B2 D2 F2 R2 D' B2 D' U' F' D2 B' U' L U' B L2 R2 B Rw2 Uw
5407,Fenix2014,333bf,1,A,0,1,R' F2 R' F2 D2 R2 B2 D2 L B2 D F2 U F' R2 U B' U R2 U' Rw2 Uw2
